,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha_state[0],1.679,0.28,1.148,2.198,0.008,0.005,1187.0,1644.0,1.0
alpha_state[1],3.297,0.22,2.906,3.71,0.009,0.004,560.0,1171.0,1.0
alpha_state[2],3.904,0.203,3.51,4.268,0.006,0.004,1271.0,1822.0,1.0
beta[0],-0.151,0.051,-0.249,-0.057,0.001,0.001,3288.0,2116.0,1.0
beta[1],0.095,0.107,-0.092,0.311,0.002,0.002,2724.0,2248.0,1.0
beta[2],-0.194,0.112,-0.401,0.018,0.002,0.002,2264.0,2244.0,1.0
beta[3],-0.045,0.05,-0.14,0.05,0.001,0.001,4162.0,2225.0,1.0
beta[4],0.07,0.055,-0.033,0.172,0.001,0.001,1494.0,2159.0,1.0
"filtered_prob[0, 0]",0.113,0.095,0.0,0.279,0.002,0.003,1588.0,1806.0,1.0
"filtered_prob[0, 1]",0.788,0.133,0.542,0.981,0.005,0.004,822.0,1100.0,1.0
"filtered_prob[0, 2]",0.099,0.108,0.0,0.3,0.005,0.005,616.0,940.0,1.0
"filtered_prob[1, 0]",0.095,0.078,0.0,0.235,0.002,0.003,1343.0,1768.0,1.0
"filtered_prob[1, 1]",0.666,0.141,0.397,0.917,0.003,0.002,1855.0,1632.0,1.0
"filtered_prob[1, 2]",0.239,0.147,0.0,0.492,0.003,0.002,1602.0,1442.0,1.0
"filtered_prob[2, 0]",0.168,0.119,0.003,0.374,0.003,0.004,1421.0,1708.0,1.0
"filtered_prob[2, 1]",0.637,0.159,0.344,0.915,0.004,0.002,1719.0,1649.0,1.0
"filtered_prob[2, 2]",0.195,0.144,0.0,0.454,0.003,0.002,1569.0,1470.0,1.0
"filtered_prob[3, 0]",0.762,0.148,0.501,0.995,0.004,0.002,1522.0,1701.0,1.0
"filtered_prob[3, 1]",0.219,0.147,0.0,0.477,0.004,0.002,1251.0,1597.0,1.0
"filtered_prob[3, 2]",0.019,0.035,0.0,0.076,0.001,0.003,922.0,767.0,1.0
"filtered_prob[4, 0]",0.22,0.144,0.004,0.483,0.004,0.003,1315.0,1568.0,1.0
"filtered_prob[4, 1]",0.49,0.198,0.147,0.856,0.008,0.003,728.0,1501.0,1.0
"filtered_prob[4, 2]",0.289,0.181,0.0,0.585,0.006,0.002,873.0,1286.0,1.0
"filtered_prob[5, 0]",0.073,0.091,0.0,0.235,0.003,0.004,1228.0,1753.0,1.0
"filtered_prob[5, 1]",0.364,0.235,0.0,0.771,0.011,0.003,493.0,956.0,1.0
"filtered_prob[5, 2]",0.562,0.23,0.159,0.965,0.009,0.004,620.0,1253.0,1.0
"filtered_prob[6, 0]",0.106,0.086,0.0,0.26,0.002,0.002,1107.0,1609.0,1.0
"filtered_prob[6, 1]",0.435,0.199,0.085,0.804,0.007,0.003,743.0,1543.0,1.0
"filtered_prob[6, 2]",0.459,0.191,0.091,0.799,0.006,0.003,985.0,1317.0,1.0
"filtered_prob[7, 0]",0.061,0.073,0.0,0.191,0.002,0.003,1174.0,1739.0,1.0
"filtered_prob[7, 1]",0.331,0.223,0.0,0.707,0.008,0.003,740.0,1116.0,1.0
"filtered_prob[7, 2]",0.607,0.217,0.234,0.978,0.007,0.003,962.0,1983.0,1.0
